penulis,judul,abstrak_indo,abstrak_english,pembimbing_pertama,pembimbing_kedua,prodi
Abdul Basith Djunaedi,IMPLEMENTASI PENJADWALAN MATA KULIAH FAKULTAS PERTANIAN UNIVERSITAS TRUNOJOYO MENGGUNAKAN TABU SEARCH,"Penjadwalan mata kuliah pada perguruan tinggi atau universitas merupakan hal yang sangat penting dalam proses kegiatan akademik dan juga menjadi suatu persoalan yang sulit dipecahkan. Dengan keterbatasan dosen yang ada, jumlah ruangan dan kelas dituntut agar tetap bisa memenuhi kebutuhan pelayanan kepada mahasiswa. Saat ini, penjadwalan yang dilakukan pada Fakultas Pertanian Universitas Tunojoyo Madura seringkali mengalami kesulitan dalam menyusun jadwal. Dikarenakan banyaknya jumlah mata kuliah dan kelas disertai dengan terbatasnya tenaga mengajar dan ruang perkuliahan. Oleh karena itu, perlu dilakukan optimasi penjadwalan secara otomatis. Berdasarkan permasalahan yang ada, diperlukan suatu aplikasi penjadwalan perkuliahan secara otomatis agar dapat menangani hal tersebut. Ada beberapa metode pada penelitian sebelumnya yang digunakan untuk memecahkan masalah penjadwalan dan menghasilkan jadwal optimal, seperti metode Tabu Search. Dalam penelitian ini, penyelesaian masalah penjadwalan perkuliahan menggunakan metode Tabu Search. Tabu Search merupakan metode yang berlandaskan pada pencarian lokal (local search). Dalam metode Tabu Search, solusi awal berupa jadwal yang dibangkitkan secara random, kemudian dicari solusi akhirnya dan yang menjadi Tabu List adalah kumpulan move berbentuk array yang merupakan solusi jadwal mata kuliah dengan nilai total penalti paling kecil pada tiap iterasi. Penelitian ini menghasilkan rata-rata pelanggaran soft constraint sebanyak 3,15. Untuk rata-rata waktu sebanyak 37,06 detik. Rata-rata keakuratan penjadwalan adalah 94,7%.","Scheduling courses at colleges or universities is very important in the process of academic activities and also becomes a problem that is difficult to solve. With the limitations of existing lecturers, the number of rooms and classrooms is demanded to be able to meet the needs of services to students. At present, scheduling at the Faculty of Agriculture at the University of Tunojoyo Madura often has difficulty in arranging schedules. Due to the large number of courses and classes accompanied by a limited teaching force and lecture halls. Therefore, scheduling optimization needs to be done automatically. Based on the existing problems, an application is needed for scheduling lectures automatically to be able to handle it. There are several methods in previous research that are used to solve scheduling problems and produce optimal schedules, such as the Tabu Search method. In this study, solving the problem of scheduling lectures using the Tabu Search method. Tabu Search is a method based on local search. In the Tabu Search method, the initial solution is a randomly generated schedule, then the final solution is searched and what becomes a Tabu List is an array of moves in the form of an array which is a course schedule solution with the smallest total penalty value for each iteration. In this study the average soft constraint violations were 3.15. For an average time of 37.06 seconds. For the average scheduling accuracy is 94.7%.","Achmad Jauhari, S.T., M.Kom.","Devie Rosa Anamisa, S.Kom.,M.Kom.",Teknik Informatika
Imam Hasan,IMPLEMENTASI VIRTUAL REALITY BERBASIS LEARNING FRAMEWORK UNTUK LINGKUNGAN SEKOLAH (SCHOOL ENVIRONMENT) BAGI ANAK AUTIS,"Anak Autis memerlukan bimbingan khusus dalam berinteraksi dan berkomunikasi, misalnya melalui media edukasi dan komunikasi yang secara khusus menangani anak  autis. Pada saat ini perkembangan penerapan teknologi virtual reality banyak digunakan di berbagai bidang salah satunya sebagai media edukasi anak autis. Teknologi virtual reality dapat dimanfaatkan sebagai salah satu media terapi bagi anak anak penderita autis. Peneliti sebelumnya telah menyoroti bahwa pembelajaran berbasis virtual reality lingkungan, lingkungan simulasi komputer, dapat mempermudah proses belajar di kalangan anak autis. Aplikasi virtual reality ini dapat membantu anak autis untuk mengenali lingkungan sekolah khususnya ruangan kelas. Pengujian dari penelitian ini  menggunakan heuristic evaluation yakni untuk user experience dan user interface. Hasil akhir prosentase yang diperoleh untuk user experience adalah prosentase tertinggi indikator interest sebanyak 81,33% sedangkan terendah indikator control 70%. Hasil akhir prosentase yang diperoleh untuk user interface adalah prosentase tertinggi indikator match between system and the real world sebanyak 91% sedangkan terendah indikator use control and freedom 52%.","Autistic children need special guidance in interacting and communicating, for example through education and communication media that specifically deal with autistic children. At this time the development of the application of virtual reality technology is widely used in various fields one of which is as an educational medium for autistic children. Virtual reality technology can be used as a therapeutic medium for children with autism. Previous researchers have highlighted that a virtual reality based learning environment, a computer simulation environment, can simplify the learning process among autistic children. This virtual reality application can help autistic children to recognize the school environment, especially classrooms. Tests from this study use heuristic evaluation which is for user experience and user interface. The final percentage obtained for user experience is the highest percentage of interest indicators as much as 81.33% while the lowest control indicators are 70%. The final percentage obtained for the user interface is the highest percentage of match between system and the real world indicator as much as 91% while the lowest indicator is use control and freedom 52%.","Arik Kurniawati, S.KOM., M.T.;"," Ari Kusumaningsih, S.T., M.T. ",Teknik Informatika
Ahmad Moqaddas,Implementasi Google Drive API Untuk Meningkatkan Efesiensi dan Efektivitas Pada Manajemen Berkas Dosen,"Manajemen berkas dosen dalam dunia pendidikan formal universitas merupakan hal yang sangat penting, berkas yang berisi data penelitian, data karya ilmiah (jurnal atau prosiding), berkas pengabdian kepada masyarakat dan juga data pengajaran dosen serta data profil dosen seperti ijazah dan trakskrip nilai adalah berkas yang wajib dimiliki oleh setiap dosen. Dalam pelayanan manajemen berkas dosen masih banyak permasalahan diantaranya penyimpanan berkas dosen masih terbilang manual dengan menyimpan berkas didalam ordner sehingga berkas rentan hilang, rusak atau disebabkan hal lain. Pembuatan aplikasi ini bertujuan untuk mengelola berkas dosen sehingga lebih efektif dan efesien serta lebih aman. Pembuatan aplikasi dengan memanfaatkan salah satu media penyimpanan online yaitu google drive, dengan pembuatan aplikasi manajemen berkas dosen menggunakan penyimpanan online google drive berguna untuk mempermudah pengolahan data berkas dosen. Google drive sebagai media penyimpanan online menyediakan penyimpanan online gratis sehingga sangat efektif dan efisien untuk menyimpan banyak berkas. Dengan menyimpan berkas ke dalam google drive, berkas tidak mudah hilang dan mudah ditemukan. Berdasarkan hasil pengujian dapat disimpulkan bahwa tingkat efektivitas dan efesiensi aplikasi manajemen berkas dosen adalah sangat efektif dan efisien.

Kata Kunci : Manajemen Berkas Dosen, Penyimpananan Online, Google Drive","Lecturer file management in the university's formal education world is very important, files containing research data, scientific work data (journals or proceedings), community service files and lecturer teaching data as well as lecturer profile data such as diplomas and grades are document files must be owned by every lecturer. In the lecturer file management service there are still many problems including storing lecturer files still fairly manually by storing files in an ordner so that files are vulnerable to being lost, damaged or caused by something else. The making of this application aims to manage the lecturers' files so that they are more effective and efficient and safer. Making an application by utilizing one of the online storage media namely google drive, by making a lecturer file management application using google drive online storage is useful to facilitate the processing of lecturer file data. Google drive as an online storage medium provides free online storage so it is very effective and efficient for storing many files. By saving files to Google Drive, files are not easily lost and are easy to find. Based on the test results it can be concluded that the level of effectiveness and efficiency of lecturer file management application is very effective and efficient.

Keywords: Lecturer File Management, Online Storage, Google Drive.","Sigit Susanto Putro, S.Kom.,M.Kom","Ach. Khozaimi, S.Kom.,M.Kom",Teknik Informatika
Syafrurrizal Naridho,KOMBINASI MODEL CONTENT-BASED DAN COLLABORATIVE FILTERING UNTUK REKOMENDASI TEMPAT WISATA BERBASIS MULTI-CRITERIA RATING DI SEKITAR KABUPATEN LAMONGAN,"Sistem rekomendasi merupakan sebuah sistem yang dapat memberi informasi atau rekomendasi suatu item kepada pengguna agar pengguna dapat membuat suatu keputusan yang diinginkan. Sistem rekomendasi dapat diterapkan di berbagai bidang, salah satunya di bidang pariwisata, pariwisata merupakan bidang yang mampu mendorong pertumbuhan ekonomi dan menciptakan lapangan kerja yang pada akhirnya mampu menunjang pendapatan daerah. Sistem rekomendasi ini bertujuan untuk memberikan rekomendasi tempat wisata. Dengan menggunkan metode hybrid content-based dan collaborative filtering dengan multi-criteria rating, sistem rekomendasi ini dapat memberikan rekomendasi wisata yang ada di sekitar Kabupaten Lamongan dengan kriteria-kriteria yang disediakan berdasarkan konsep 4A, yaitu Attraction, Accessibility, Amenities dan Ancillary Service. Hasil dari penelitian ini adalah menghasilkan aplikasi berbasis web untuk rekomendasi tempat wisata di sekitar Kabupaten Lamongan, dan hasil rekomendasi metode hybrid lebih baik dari metode collaborative filtering. Hasil tersebut didapat ketika ukuran neighbor adalah 62, sedangan untuk pengujian system usability scale mendapat nilai akhir sebesar 77.58.","A recommendation system can help users to make a decision by providing a list of suggestions or recommendations. Recommendations can be applied in many areas, one of which is in the tourism domain, an area that can drive economic growth and create jobs to support regional income. This recommendation system intended to provide a tourist recommendation. With use a hybrid content-based and collaborative filtering method with a multi-criteria rating, this recommendation system can provide tourist attraction around the Lamongan District with the criteria provided based on the 4A concept, which is Attraction, Accessibility, Amenities and Ancillary Service. The result of this research is develops a web-based application of tourist attraction around Lamongan District, and the result of hybrid methods are better than collaborative filtering method. This result obtained with the neighbor size is 62, as for system usability scale testing getting a final score 77,58.","Dr. Noor Ifada, S.T., MISD.","Moch. Kautsar Sophan, S.Kom., M.MT.",Teknik Informatika
Zulfi Osman,Cosine Similarity dan Google Translate API untuk Temu Kembali Informasi Lintas Bahasa Indonesia dan Inggris,"Cross-Language Information Retrieval (CLIR) merupakan subbidang Temu Kembali Informasi yang berkaitan dengan pengambilan informasi yang disimpan dalam bahasa yang berbeda dari bahasa permintaan yang diberikan pengguna. Pada CLIR terdapat berbagai metode terjemahan, diantaranya adalah Dictionary-based, Parallel corpora based, Comparable corpora based, Machine translator based, Ontology based, dan Transitive based. Langkah-langkah menerjemahkan query ke dalam bahasa target meliputi stemming, kemudian perhitungan kemiripan dokumen. permasalahannya terdapat pada efisiensi waktu dan akurasi dalam penerjemahan query dari banyaknya metode di CLIR pada Bahasa Indonesia dan Inggris. Pada tahap stemming mempunyai metode masing-masing dari kedua Bahasa tersebut. Untuk stemming bahasa Indonesia terdapat kata dasar dan kata imbuhan. Ada variasi imbuhan termasuk prefix, suffix, infiks, dan confixes, sedangkan stemming bahasa Inggris hanya kata imbuhan suffix. Pada pemrosesan stemming membutuhkan waktu yang lebih lama. Untuk mengatasi masalah tersebut, di usulkan menggunakan Google Translate API dalam penerjemahan query dan menggunakan satu stemming bahasa Inggris dengan algoritma Porter Stemmer yang merupakan metode stemming terbaik dari beberapa penelitian dengan akurasi terbaik. Untuk perhitungan kemiripan menggunakan Cosine Similarity. penelitian ini diharapkan dapat menghasilkan sistem yang lebih akurat serta dapat mempercepat waktu dalam proses dan pencarian dokumen lintas bahasa Indonesia dan Inggris.","Cross Language Information Retrieval (CLIR) is a sub-field of Information Retrieval relating to the retrieval of information stored in a language that is different from the language the request is given by the user. In CLIR there are various translation methods, including Dictionary-based, Parallel corpora based, Comparable corpora based, Machine translator based, Ontology based, and Transitive based. Steps to translate the query into the target language include stemming, then calculating the similarity of the document. the problem is the time efficiency and accuracy in query translation of the many methods in CLIR in Indonesian and English. In the stemming stage, each method has two methods. For Indonesian stemming there are basic words and affix words. There are variations of affixes including prefixes, suffixes, infixes, and confixes, whereas English stemming is only suffix affixes. In stemming processing requires a longer time. To overcome this problem, it is proposed to use the Google Translate API in query translation and use one English stemming with the Porter Stemmer algorithm which is the best stemming method from several studies with the best accuracy. For similarity calculations use Cosine Similarity. this research is expected to produce a more accurate system and can speed up the time in the process and search for documents across Indonesian and English.","Sigit Susanto Putro, S.Kom., M.Kom.","Husni, S.Kom., M. T.",Teknik Informatika
Ach.Sudarmanto,SISTEM PAKAR DETEKSI HAMA DAN PENYAKIT PADA TANAMAN PADI MENGGUNAKAN METODE FUZZY K-NEAREST NEIGHBOR,"Padi merupakan hasil pertanian yang sangat utama dijadikan sebagai makanan pokok sehari-hari. Namun, adanya perubahan musim yang tidak menentu menyebabkan banyaknya penyakit yang menyerang tanaman padi mengakibatkan pertumbuhan tanaman terganggu, bahkan dapat menggagalkan terwujudnya produksi yang maksimal. Oleh karena itu, dibutuhkan suatu sistem pakar agar dapat membantu mempermudah dalam mendeteksi hama dan penyakit yang ada pada tanaman padi. Sistem ini bertujuan untuk mengetahui tingkat akurasi metode Fuzzy K-Nearest Neighbor dalam mendeteksi hama dan penyakit pada tanaman padi. Fuzzy K-nearest Neighbor (F-KNN) ini digunakan karena dalam penentuan kelas akhirnya tidak hanya memperhitungkan jumlah data yang mengikuti sebuah kelas tetapi juga jarak pada tetangga terdekatnya. Dari pengujian yang telah dilakukan dengan menggunakan 43 data uji terhadap 130 data latih dengan menggunakan nilai k= 4. Hasil akurasi tertinggi yang diperoleh adalah 86,05%.","Rice is the main agricultural product used as daily staple food. However, an uncertain seasonal change causes many diseases that attack rice plants resulting in disturbed plant growth, and can even frustrate the realization of maximum production. Therefore, we need an expert system in order to help make it easier to detect pests and diseases that exist in rice plant. This system aims to determine the accuracy of the Fuzzy K-Nearest Neighbor method in detecting pests and diseases in rice plants. Fuzzy K-nearest Neighbor (F-KNN) is used because in determining the end of class not only calculates the amount of data that follows a class but also the distance to its closest neighbors. From the tests that have been carried out using 43 test data against 130 training data using the value of k = 4. The highest accuracy results obtained are 86.05%.","Muhammad Yusuf, S.T., M.MT.Ph.D","Devie Rosa Anamisa, S.Kom. M.Kom",Teknik Informatika
Anugrah Rahman Dani,Sistem Identifikasi Penyakit Gigi dan Mulut Menggunakan Metode Fuzzy C-Means,"Penyakit gigi dan mulut merupakan salah satu masalah kesehatan yang banyak diderita oleh masyarakat Indonesia. Minimnya pengetahuan serta terbatasnya sumber informasi mengenai kesehatan gigi dan mulut menyebabkan kesadaran masyarakat untuk menjaga kesehatan gigi dan mulut masih rendah. Untuk itulah dibutuhkannya sistem indentifikasi penyakit gigi dan mulut dengan mempertimbangkan faktor-faktor tersebut perlu dilakukan. Tujuan dari laporan ini adalah untuk memperoleh sistem identifikasi penyakit gigi dan mulut, dengan menggunakan metode fuzzy c – means.  Pada tahap uji coba penulis membagi data menjadi training dan testing menggunkan k-fold validation. Dari hasil perhitungan akurasi yang menggunakan k-fold cross validation dengan nilai k=5, jumlah iterasi 10, target error 0,0001 serta error awal (P0) 0, pembagian data latih dan data uji menggunakan 5 fold menghasilkan rata-rata akurasi 83.666%","
Tooth and mouth disease is one of the many health problems suffered by the people of Indonesia. The lack of knowledge and the limited sources of information on oral health have caused public awareness to maintain oral health is still low. For this reason, it is necessary to identify the dental and oral disease system by considering these factors. The purpose of this report is to obtain a dental and oral disease identification system, using the fuzzy c-means method. In the trial phase the authors divide the data into training and testing using k-fold validation. From the results of the calculation of accuracy using k-fold cross validation with a value of k = 5, the number of iterations 10, the error target is 0,0001 and the initial error (P0) 0, the division of training data and test data using 5 fold produces an average accuracy of 83,666%","Ari Kusumaningsih, S.T., M.T.","Rosida Vivin Nahari, S.Kom., M.T.",Teknik Informatika
Hoiril Mochtar,PENERAPAN ALGORITMA WINNOWING UNTUK MENDETEKSI KEMIRIPAN DOKUMEN LINTAS BAHASA INDONESIA-INGGRIS,"Salah satu dampak negatif dari perkembangan teknologi adalah aksi plagiarisme yang dilakukan oleh orang-orang tidak bertanggung jawab. Plagiarisme adalah tindakan yang disengaja atau tidak disengaja dengan menggunakan atau berusaha untuk mendapatkan pengakuan atau nilai untuk studi ilmiah. Hal ini dapat terjadi dengan mengutip sebagian atau keseluruhan dari karya orang lain tanpa menyertakan sumber aslinya. Mendeteksi plagiarisme sangatlah penting dalam dunia pendidikan, karena kredibilitas lembaga ini sebagian besar didasarkan pada orisinalitas. Dapat mendeteksi plagiarisme telah menjadi salah satu tantangan tersendiri bagi dunia pendidikan, telebih sebagian besar dari pelajar atau peneliti sering melakukan kecurangan saat melakukan pekerjaannya. Penelitian sebelumnya sudah menerapkan beberapa algoritma yang berfungsi sebagai fingerprint dokumen untuk mendeteksi plagiarisme dokumen teks, diantaranya adalah algoritma Rabin-Karp dan algoritma Winnowing. Namun algoritma ini hanya bisa memeriksa setiap kata dalam file dokumen dan tidak dapat mendeteksi tindakan plagiarisme yang dilakukan dengan cara mengambil karya orang lain dalam bahasa asing kemudian ditulis ulang menggunakan bahasa yang berbeda. Diusulkan penggunaan algoritma Winnowing yang dikombinasikan dengan Google Translate API untuk meminimalisir aksi plagiarisme lintas bahasa Indonesia-Inggris. Dari hasil pengujian yang membandingkan Winnowing dengan aplikasi Plagiarism Checker X mendapatkan nilai rata-rata selisih perbedaan sebesar 0.60% dalam skala 0%-100%. Sedangkan penilaian secara umum dari hasil translasi Google Translate API yang dilakukan oleh pakar bahasa Inggris didapatkan nilai rata-rata sebesar 79.3 dalam skala 0-100.","One negative impact of technological development is the act of plagiarism by irresponsible people. Plagiarism is an intentional or unintentional act of using or trying to gain recognition or value for scientific studies. This can happen by quoting part or all of other people's work without including the original source. Detecting plagiarism is very important in the world of education, because the credibility of this institution is largely based on originality. Being able to detect plagiarism has become one of the challenges in the world of education, especially most students or researchers often commit fraud when doing their work. Previous research has implemented several algorithms that function as fingerprint documents to detect plagiarism of text documents, including the Rabin-Karp algorithm and the Winnowing algorithm.. However, this algorithm can only examine every word in a document file and cannot detect plagiarism actions carried out by taking someone else's work in a foreign language then rewriting it using a different language. It is proposed to use the Winnowing algorithm combined with the Google Translate API to minimize plagiarism actions across Indonesian-English languages. From the test results that compare Winnowing with the Plagiarism Checker X application get an average difference of 0.60% on a 0% -100% scale. While the general assessment of the results of the Google Translate API translation conducted by English experts obtained an average value of 79.3 on a scale of 0-100.","Sigit Susanto Putro, S.Kom., M.Kom. ","Husni, S.Kom., M.T.",Teknik Informatika
Febri Indra Ariyanto,"DETEKSI PENYAKIT DAUN TANAMAN TOMAT DENGAN MENGGUNAKAN GRAY LEVEL CO-OCCURRENCE MATRIX, COLOR MOMENTS DAN NAIVE BAYESIAN","Negara Indonesia adalah negara agraris. Hal ini menyebabkan pentingnya keberhasilan panen para petani Indonesia untuk memenuhi kebutuhan rakyat Indonesia tersebut. Penyakit daun tanaman tomat adalah masalah serius yang harus diatasi oleh para petani tomat untuk meningkatkan kualitas hasil panen mereka. Dalam menangani penyakit pada daun tanaman tomat, petani harus mampu mengidentifikasi penyakit yang sedang menjangkit daun tanaman tomat tersebut. Dengan menggunakan pengolahan citra digital untuk membantu petani dalam mengidentifikasi penyakit pada daun tanaman tomat. Metode yang digunakan untuk ekstraksi fitur tekstur Gray Level Co-occurrence Matrix, ekstraksi fitur warna Color Moments dan klasifikasi Naive Bayesian. Dari data testing sebanyak 140 citra daun tanaman tomat, menunjukkan bahwa penggunaan 2 ekstraksi fitur yaitu GLCM dan CM mampu memberikan accuracy sebesar 93,75%. Accuracy tersebut merupakan hasil yang lebih tinggi daripada penggunaan metode GLCM dengan angka accuracy sebesar 91,51% atau metode CM dengan angka accuracy sebesar 90,45%.","The country of Indonesia is an agricultural country. This causes the importance of the success of the harvest of Indonesian farmers to meet the needs of the Indonesian people. Tomato leaf disease is a serious problem that must be overcome by tomato farmers to improve the quality of their crops. In dealing with diseases of the leaves of tomato plants, farmers must be able to identify diseases that are infecting the leaves of tomato plants. By using digital image processing to assist farmers in identifying diseases on the leaves of tomato plants. The method used for the extraction of Gray Level Co-occurrence Matrix texture features, color feature extraction of Color Moments and Naive Bayesian classification. From the testing data as many as 140 images of tomato plant leaves, showed that the use of 2 feature extractions namely GLCM and CM were able to provide an accuracy of 93.75%. The accuracy is higher than the use of the GLCM method with an accuracy number of 91.51% or the CM method with an accuracy number of 90.45%.","Fitri Damayanti, S.Kom., M.Kom.","Eza Rahmanita, S.T., M.T.",Teknik Informatika
Nova Nurul Fauziyah,Pengenalan Ekspresi Wajah Menggunakan Linear Discriminant Analysis dan Naive Bayes,"Pengenalan ekspresi wajah merupakan bagian dari face recognition.    Kemampuan komputer untuk melakukan pengenalan ekspresi wajah mendapat perhatian yang cukup besar dalam penelitian computer vision karena penerapannya yang cukup tinggi. Banyak peneliti membuat sistem komputer yang dapat mengerti dan berkomunikasi dengan manusia melalui citra ekspresi wajah. Pengenalan ekspresi wajah adalah sistem untuk mengenali ekspresi wajah manusia. Sistem akan mencocokkan ekpresi wajah dengan basisdata yang telah ditentukan atau disiapkan sebelumnya. Terdapat beberapa tahapan dalam pengenalan ekspresi wajah yaitu tahap preprocessing, ekstraksi fitur, dan klasifikasi. Pada penelitian ini diusulkan metode Linear Discriminant Analysis (LDA) yang mempunyai kemampuan untuk ektraksi fitur sehingga bisa mereduksi dimensi. Selain itu, LDA juga mempunyai kinerja cukup mengesankan untuk tugas klasifikasi citra. Pada penelitian dilakukan beberapa skenario percobaan untuk mengetahui tingkat akurasi LDA. Untuk pengukuran kemiripan menggunakan Naive Bayes. Akurasi tertinggi yang didapatkan mencapai 58,06%","Facial expression recognition is part of face recognition. The ability of the computer to do the facial expression recognition received considerable attention in computer vision research because its application is quite high. Many researchers create computer systems that can understand and communicate with humans through the image of facial expressions. The facial expressions recognition is a system to recognize human facial expressions. The system will match the face expression with a predefined or pre-set database. There are several stages in the introduction of facial expressions namely preprocessing, feature extraction, and classification. In this study proposed Linear Discriminant Analysis (LDA) method that has the ability to do feature extraction so it can reduce the dimensions. In addition, LDA also has quite impressive performance for image classification tasks. A few experimental scenarios were conducted to determine LDA's level of accuracy. For measuring similarities using Naive Bayes. Highest accuracy achieved 58.06%","Prof. Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom., M.Kom.",Teknik Informatika
Sukris Susanti,Pengenalan Tulisan Tangan Huruf Lampung Menggunakan Ekstraksi Fitur Zoning dan Klasifikasi Backpropagation,"Indonesia memiliki beragam kekayaan budaya salah satunya aksara had (Lampung). Namun saat ini bahasa dan aksara lampung sudah sangat jarang digunakan. Maka dari itu diperlukan adanya pengembangan dalam bidang sistem informasi sebagai upaya pelestarian aksara lampung. Seperti pembuatan sistem pengenalan tulisan aksara lampung. Dalam proses pengenalan aksara ada beberapa metode yang dapat digunakan, salah satunya metode Learning Vector Quantization (LVQ). Namun, metode LVQ memiliki tingkat akurasi rendah karena banyaknya target yang pada akhirnya mempengaruhi perhitungan bobot, ketika bobot terus diupdate untuk memperoleh bobot akhir. Pada penelitian ini diusulkan metode backpropagation dengan menggunakan metode ekstraksi fitur zoning untuk melakukan pengenalan tulisan tangan aksara Lampung. Sistem dimulai dengan mengubah gambar menjadi binner, lalu cropping, setelah itu proses ekstraksi fitur menggunakan zoning. Zoning dengan algoritma gabungan ICZ (Image Centroid and Zone) dan ZCZ (Zone Centroid and Zone) dikenal sebagai ekstraksi ciri yang optimal, algoritma ini memberikan tingkat kesalahan yang relatif rendah. Dari hasil uji coba, penggunaan ekstraksi fitur Zoning algoritma ICZ dan klasifikasi backpropagation dalam pengenalan aksara lampung mendapatkan akurasi sebesar 73,5%

","Indonesia has a rich cultural property of one of the characters of the limit (Lampung). But nowadays, the language and the Lampung script is very rarely used. Therefore, there is a need for development in the field of information system as an effort to preserve Lampung script. Such as the creation of the Lampung script recognition system. In the process of character recognition there are several methods that can be used, one of which is the Learning Vector Quantization (LVQ) method. However, the LVQ method has a low level of accuracy due to the many targets that ultimately affect the weight calculation, when the weight is continuously updated to obtain the final weight. In this study proposed BackPropagation method using zoning feature extraction method to perform handwriting recognition of Lampung script. The system starts by converting the image into a binner, and then cropping it, after which the extraction process features using zoning. Zoning with the combined algorithm of ICZ (Image Centroid and Zone) and ZCZ (Zone Centroid and Zone) is known as the optimal feature extraction, this algorithm provides a relatively low fault rate. From the results of trials, the use of Zoning features of ICZ algorithm and backpropagation classification in Lampung alphabet recognition gained an accuracy of 73.5%

","Prof. Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom., M.Kom.",Teknik Informatika
Ananda Yulia Kurnia Sari,Pengenalan Ekspresi Wajah Menggunakan PCA dan Jaringan Syaraf Tiruan Learning Vector Quantization,"Ekspresi wajah merupakan suatu hal yang penting dalam proses komunikasi antar manusia. Pada pengenalan ekspresi wajah manusia, terdapat dua hal yang harus dilakukan, yaitu pengekstraksian ciri dari suatu citra inputan dan pengklasifikasian citra tersebut ke dalam kelas ekspresi tertentu. Cara yang tepat untuk mendapatkan kombinasi ekstrasi fitur dan klasifikasi citra merupakan hal yang penting dalam pengenalan ekspresi wajah. Oleh karena itu, Principal Component Analysis (PCA) digunakan sebagai teknik ekstraksi fitur untuk pengenalan ekspresi wajah manusia. PCA memilih fitur yang bisa merepresentasikan ekspresi pada citra wajah manusia secara tepat . Untuk klasifikasi, dipilih metode jaringan syaraf tiruan Learning Vector Quantization (LVQ), dan algoritma diuji pada database JAFFE (Japanese Female Facial Expressions). Dari penelitian ini menunjukkan tingkat performa (akurasi) rata-rata yang dihasilkan dari penggunaan PCA (Principal Component Analysis) untuk ekstraksi fitur dan Jaringan Syaraf Tiruan LVQ (Learning Vector Quantization) dalam pengenalan ekspresi wajah adalah sebesar 48%, dengan akurasi tertinggi yang dicapai adalah 60% untuk penggunaan 20 fitur PCA.","Facial expressions are an important thing in the process of communication between people. In the introduction of human facial expressions, there are two things that must be done, namely the extraction of the characteristic of an input image and the classifications of the image into a particular expression class. The right way to get a combination of feature extractions and imagery classifications is important in the recognition of facial expressions. Therefore, Principal Component Analysis (PCA) is used as a feature extraction technique for the introduction of human facial expressions. PCA chooses a feature that can accurately represent the expression of human face image. For classification, selected method of neural network Learning Vector Quantization (LVQ), and algorithm tested in JAFFE (Japanese Female Facial Expressions) database. From this study showed the average level of performance (accuracy) resulting from the use of PCA (Principal Component Analysis) for feature extraction and LVQ artificial nerve network (Learning Vector Quantization) in the introduction of facial expressions Is 48%, with the highest accuracy achieved is 60% for the use of 20 PCA features.","Prof. Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom., M.Kom.",Teknik Informatika
